Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.064999,0.066375,0.064856,0.0684005,0.0710455,0.0753625,0.083376
450,0.063544,0.062317,0.0615485,0.0620535,0.0638955,0.067235,0.07298299999999999
500,0.072545,0.071003,0.0696415,0.0698255,0.071439,0.0745375,0.08057600000000001
550,0.08505599999999999,0.083808,0.0822195,0.08214,0.08357400000000001,0.08652699999999999,0.092852
600,0.152394,0.152668,0.1511395,0.1507975,0.1522015,0.15599200000000002,0.16479749999999999
650,0.162391,0.163248,0.16179149999999998,0.161414,0.162797,0.1658485,0.17430600000000002
700,0.1611495,0.16184700000000002,0.163747,0.16341300000000003,0.1648395,0.1676825,0.17207250000000002
750,0.1652035,0.1664095,0.16824699999999998,0.16841153811054166,0.16963299999999998,0.17231049999999998,0.176773
800,0.158449,0.159686,0.1614315,0.1618839393323277,0.1630125,0.16569299999999998,0.17022900000000002
850,0.149592,0.15094049999999998,0.1529065,0.1532046316839847,0.15472999999999998,0.1576365,0.161931
900,0.1459765,0.1476625,0.14970250000000002,0.150154165859326,0.1515,0.15468300000000001,0.15896349999999998
950,0.145762,0.147511,0.14989200000000003,0.15053030661769531,0.151416,0.15458100000000002,0.159188
1000,0.145395,0.1465645,0.14840750000000003,0.14903748203393644,0.151033,0.15455,0.15923500000000002
1050,0.141291,0.14253149999999998,0.1460065,0.14736347703061026,0.148918,0.15270299999999998,0.15732449999999998
1100,0.13731100000000002,0.1397695,0.14271050000000002,0.14404404759718545,0.146373,0.14994600000000002,0.1548975
1150,0.134598,0.136428,0.1399625,0.14168921251018937,0.14413700000000002,0.148477,0.153258
1200,0.130919,0.134046,0.13754850000000002,0.14007287902069732,0.142362,0.1464765,0.1517675
1250,0.1286105,0.13188149999999998,0.13586399999999998,0.13853259027068562,0.141296,0.145782,0.15081
1300,0.12667250000000002,0.130217,0.134524,0.13694892029345354,0.14009850000000001,0.14468599999999998,0.150142
1350,0.1239205,0.1286125,0.1334665,0.1365855387195608,0.1397605,0.144506,0.14986500000000003
1400,0.1226425,0.127121,0.132241,0.13554949294006316,0.1390405,0.14429750000000002,0.149663
1450,0.12076049999999999,0.1259925,0.13155699999999998,0.13536831252049586,0.1392535,0.1445125,0.15042899999999998
1500,0.1202015,0.126004,0.132157,0.13624920661675835,0.140534,0.1462475,0.151851
