Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.246333,0.264578,0.278796,0.295352,0.32190850000000004,0.3587415,0.406237
450,0.323184,0.342741,0.35692100000000004,0.372846,0.395275,0.427403,0.473049
500,0.3209575,0.3394215,0.35268900000000003,0.367719,0.3883885,0.41790700000000003,0.459969
550,0.3239665,0.34312450000000005,0.356826,0.3714785,0.3905105,0.4182665,0.457634
600,0.3207115,0.3396975,0.352214,0.366757,0.3864655,0.41326850000000004,0.451313
650,0.30602050000000003,0.32426,0.3371205,0.3516845,0.371228,0.397766,0.434014
700,0.293129,0.3107920156249999,0.3230015078124999,0.3369145,0.35690900000000003,0.38300049999999997,0.42084849999999996
750,0.27965,0.29669358997412404,0.30873430673472996,0.32322850000000003,0.3436545,0.36894300253739465,0.4065985
800,0.266951,0.2831682430859785,0.29523602609725513,0.310388,0.33049150000000005,0.3575956436968525,0.39364750000000004
850,0.25516150000000004,0.2710898463500442,0.28330059586999706,0.2984375,0.3186345,0.3484606092340274,0.383204
900,0.2442705,0.26022985634893725,0.2722507972212933,0.287473,0.3085105,0.3400491301994979,0.37452850000000004
950,0.234452,0.24992967484761572,0.2621356684445298,0.2780725,0.2996955,0.3322109066836667,0.3674
1000,0.224917,0.2392363003701499,0.25351375570137485,0.26941899999999996,0.2922135,0.3292626328395408,0.36228249999999995
1050,0.2167985,0.23144862198639085,0.24441175806596924,0.26179549999999996,0.285138,0.32303917685046124,0.357677
1100,0.20685399999999998,0.2221029164346598,0.23566087461120866,0.252729,0.2763865,0.316133547565794,0.35085299999999997
1150,0.200733,0.21479051006081526,0.22774266137814508,0.24630400000000002,0.271354,0.3129824940121809,0.347587
1200,0.1933665,0.20677477975089248,0.22110679951712967,0.2400445,0.2657045,0.3085921765064993,0.3437405
1250,0.187035,0.20091227247658017,0.21462295636561138,0.23416599999999999,0.260405,0.3063798880502941,0.339271
1300,0.180336,0.19405596995506308,0.2083764585540821,0.2274555,0.254675,0.3018958044405306,0.3354905
1350,0.172962,0.18628647674645066,0.19975111313039007,0.2195565,0.24730449999999998,0.2958977692483622,0.3295525
1400,0.16515249999999998,0.17921342659683395,0.19360465343736855,0.2131795,0.241527,0.2928667215601105,0.3237485
1450,0.1611825,0.17495957008617227,0.18969924375209463,0.2086815,0.238517,0.2913805754753338,0.3232515
1500,0.156962,0.17038624428239324,0.18543683529096944,0.205657,0.23497800000000002,0.29063059151008297,0.320777
