Wavelength,Reflectance_10,Reflectance_20,Reflectance_30,Reflectance_40,Reflectance_50,Reflectance_60,Reflectance_70
400,0.2607055,0.26794150000000005,0.27025750000000004,0.27474699999999996,0.282253,0.293869,0.3124365
450,0.38974600000000004,0.39926799999999996,0.402382,0.406776,0.41265450000000004,0.42148399999999997,0.43628900000000004
500,0.1963735,0.1971235,0.1963475,0.1975225,0.2007205,0.2062235,0.216316
550,0.0956725,0.09416350000000001,0.093356,0.0945355,0.0972485,0.10163900000000001,0.10885900000000001
600,0.0838975,0.082568,0.0818555,0.08305699999999999,0.0855915,0.0894635,0.0957385
650,0.097225,0.096056,0.0952365,0.0962715,0.098447,0.10191,0.1078545
700,0.21228,0.214669,0.2207925,0.2161485,0.218741,0.22756500000000002,0.228623
750,0.4188855,0.4320085,0.4487555,0.442633,0.44701250000000003,0.461807,0.459592
800,0.486664,0.5047285,0.5229455000000001,0.5172765,0.523848,0.540013,0.5373155000000001
850,0.5414300000000001,0.5614684999999999,0.5843205,0.5779825000000001,0.5855170000000001,0.6040515,0.600114
900,0.5787009999999999,0.6021065,0.6271325,0.620853,0.6288590000000001,0.6488295,0.6443235
950,0.617919,0.6442285,0.6710320000000001,0.6650775,0.6733075,0.6940495,0.6896450000000001
1000,0.6477455,0.6736105,0.7023545,0.6978415,0.707155,0.729366,0.724535
1050,0.669424,0.69516,0.7254465,0.721187,0.7312295,0.7540065,0.75
1100,0.677198,0.70372,0.735421,0.7314324999999999,0.741753,0.7648980000000001,0.7616165
1150,0.6763435,0.705136,0.7356465,0.732583,0.7430239999999999,0.7661739999999999,0.763384
1200,0.67744,0.7059185,0.7366710000000001,0.7349049999999999,0.7452515,0.7689455000000001,0.767755
1250,0.6904025,0.719669,0.7521105,0.7495335,0.7606545,0.7862655,0.7857555
1300,0.6922010000000001,0.7222875,0.7547285,0.753396,0.7650515,0.7917195,0.793266
1350,0.6826225,0.7139185,0.7447025,0.744837,0.757347,0.7848265,0.790069
1400,0.6616535,0.692146,0.7235195000000001,0.723238,0.7377045,0.7672845,0.775713
1450,0.6629045,0.694544,0.726702,0.728137,0.743799,0.7769845,0.790531
1500,0.675909,0.7088635000000001,0.741889,0.7441845,0.7622785000000001,0.800561,0.8200345
